epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22058.8,0.68277,0.96079,0.37356,0.96115,0,0.99806,0.9971,0.995,0.91336,0.99806,0.9971,0.995,0.89867,0.43058,0.61594,0.21592,0.85496,0,0.0282582,0.00941941,0.0282582,0.00941941,0.0282582,0.00941941,0.0282582,0.00941941
33,22618.2,0.68777,0.97523,0.38182,0.96531,0,0.99709,0.99315,0.995,0.91671,0.99709,0.99315,0.995,0.90258,0.42941,0.6138,0.21502,0.85415,0,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215
34,23177.5,0.6712,0.95978,0.37064,0.95556,0,0.99757,0.99439,0.995,0.91936,0.99757,0.9942,0.995,0.90587,0.41236,0.59696,0.20495,0.84722,0,0.0280314,0.00934381,0.0280314,0.00934381,0.0280314,0.00934381,0.0280314,0.00934381
35,23736.4,0.66728,0.94535,0.37094,0.95629,0,0.99661,0.9962,0.99499,0.92401,0.99611,0.99661,0.99499,0.90836,0.40212,0.57971,0.20365,0.83941,0,0.0279132,0.00930441,0.0279132,0.00930441,0.0279132,0.00930441,0.0279132,0.00930441
36,24295.8,0.66105,0.93839,0.36009,0.94878,0,0.99891,0.99516,0.995,0.92744,0.99891,0.99516,0.995,0.91086,0.39623,0.57517,0.2009,0.84159,0,0.0277918,0.00926394,0.0277918,0.00926394,0.0277918,0.00926394,0.0277918,0.00926394
37,24906.2,0.65086,0.92224,0.36003,0.94376,0,0.99742,0.99419,0.995,0.93011,0.99768,0.99371,0.995,0.91179,0.39525,0.57189,0.20022,0.83755,0,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242
38,25540.4,0.64496,0.91514,0.35314,0.94479,0,0.99757,0.99432,0.995,0.92872,0.99757,0.99432,0.995,0.91375,0.39153,0.56341,0.19668,0.83699,0,0.0275396,0.00917986,0.0275396,0.00917986,0.0275396,0.00917986,0.0275396,0.00917986
39,26128.5,0.6424,0.91467,0.35863,0.94358,0,0.99758,0.99627,0.995,0.93385,0.99758,0.99627,0.995,0.91801,0.38034,0.55369,0.19537,0.83514,0,0.0274088,0.00913627,0.0274088,0.00913627,0.0274088,0.00913627,0.0274088,0.00913627
40,26798,0.63629,0.90556,0.35209,0.93992,0,0.99827,0.9971,0.995,0.93466,0.99827,0.9971,0.995,0.91814,0.37275,0.54768,0.19158,0.83537,0,0.027275,0.00909166,0.027275,0.00909166,0.027275,0.00909166,0.027275,0.00909166
41,27419.3,0.63333,0.90342,0.35297,0.9418,0,0.99806,0.99688,0.995,0.93739,0.99806,0.99688,0.995,0.91816,0.36821,0.53906,0.19005,0.82903,0,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604
42,27987.1,0.62568,0.8856,0.34668,0.93479,0,0.99808,0.99613,0.995,0.93909,0.99808,0.99613,0.995,0.91999,0.36082,0.53501,0.18587,0.82767,0,0.0269983,0.00899942,0.0269983,0.00899942,0.0269983,0.00899942,0.0269983,0.00899942
43,28548.2,0.6185,0.88539,0.34289,0.93395,0,0.99661,0.99651,0.995,0.9395,0.9971,0.99699,0.995,0.92153,0.35735,0.52673,0.18335,0.82571,0,0.0268555,0.00895182,0.0268555,0.00895182,0.0268555,0.00895182,0.0268555,0.00895182
44,29132.8,0.6122,0.87168,0.34122,0.929,0,0.99839,0.9971,0.995,0.93969,0.99839,0.9971,0.995,0.9228,0.35504,0.52081,0.18098,0.82526,0,0.0267097,0.00890325,0.0267097,0.00890325,0.0267097,0.00890325,0.0267097,0.00890325
45,29704.7,0.60922,0.86735,0.33835,0.92721,0,0.99895,0.99613,0.995,0.93862,0.99864,0.99565,0.995,0.92246,0.3548,0.51935,0.17933,0.82564,0,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371
46,30281,0.60109,0.85691,0.33635,0.92525,0,0.99806,0.99707,0.995,0.94256,0.99827,0.9971,0.995,0.92478,0.35188,0.51367,0.18205,0.8229,0,0.0264097,0.00880323,0.0264097,0.00880323,0.0264097,0.00880323,0.0264097,0.00880323
47,30848.7,0.59813,0.85447,0.33619,0.92289,0,0.99858,0.99613,0.995,0.94592,0.99882,0.9971,0.995,0.92815,0.3409,0.50409,0.1766,0.82058,0,0.0262554,0.0087518,0.0262554,0.0087518,0.0262554,0.0087518,0.0262554,0.0087518
48,31451.4,0.59692,0.8545,0.33485,0.92283,0,0.99951,0.99655,0.995,0.945,0.99951,0.99655,0.995,0.92526,0.33987,0.50119,0.17748,0.81911,0,0.0260984,0.00869946,0.0260984,0.00869946,0.0260984,0.00869946,0.0260984,0.00869946
49,32009.3,0.59064,0.84974,0.33045,0.92143,0,0.99855,0.9965,0.995,0.94613,0.99855,0.9965,0.995,0.9294,0.33545,0.49957,0.17521,0.81846,0,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462
50,32567.2,0.58574,0.83925,0.3281,0.9192,0,0.99907,0.9971,0.995,0.94678,0.99907,0.9971,0.995,0.92924,0.33474,0.49665,0.17051,0.81777,0,0.0257761,0.00859204,0.0257761,0.00859204,0.0257761,0.00859204,0.0257761,0.00859204
51,33153,0.58273,0.83918,0.32417,0.91736,0,0.99741,0.99758,0.995,0.95133,0.99741,0.99758,0.995,0.93259,0.32581,0.48601,0.17147,0.81627,0,0.025611,0.008537,0.025611,0.008537,0.025611,0.008537,0.025611,0.008537
52,33730,0.57389,0.81921,0.32235,0.9125,0,0.99758,0.99645,0.995,0.9505,0.99758,0.99645,0.995,0.93026,0.32157,0.47862,0.16863,0.81458,0,0.0254433,0.00848108,0.0254433,0.00848108,0.0254433,0.00848108,0.0254433,0.00848108
53,34287.1,0.57287,0.81889,0.32111,0.91268,0,0.99794,0.9971,0.995,0.95151,0.99794,0.9971,0.995,0.9333,0.31819,0.47547,0.16786,0.81306,0,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431
54,34845.5,0.56897,0.81206,0.31876,0.91009,0,0.99687,0.99758,0.995,0.95392,0.99687,0.99758,0.995,0.93443,0.31653,0.47027,0.16596,0.81149,0,0.0251001,0.0083667,0.0251001,0.0083667,0.0251001,0.0083667,0.0251001,0.0083667
55,35403.6,0.57004,0.81049,0.31945,0.91403,0,0.99854,0.99758,0.995,0.95487,0.99854,0.99758,0.995,0.93462,0.31467,0.46753,0.16306,0.812,0,0.0249248,0.00830825,0.0249248,0.00830825,0.0249248,0.00830825,0.0249248,0.00830825
56,35962,0.56121,0.81047,0.31696,0.90741,0,0.99739,0.99758,0.995,0.95277,0.99739,0.99758,0.995,0.93496,0.31239,0.46751,0.1617,0.81196,0,0.024747,0.00824899,0.024747,0.00824899,0.024747,0.00824899,0.024747,0.00824899
57,36520.6,0.56151,0.80784,0.31703,0.91002,0,0.99806,0.99764,0.995,0.95511,0.99806,0.99764,0.995,0.93559,0.30898,0.46307,0.16132,0.81019,0,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893
58,37079.8,0.55387,0.78859,0.31207,0.9044,0,0.9973,0.9971,0.995,0.95583,0.9973,0.9971,0.995,0.93629,0.30339,0.45708,0.15983,0.80786,0,0.0243843,0.00812809,0.0243843,0.00812809,0.0243843,0.00812809,0.0243843,0.00812809
