epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,23643.2,0.70718,0.34344,0.94492,0.99833,0.99758,0.995,0.89177,0.49964,0.22911,0.85126,0.000391966,0.000391966,0.000391966
88,23913.4,0.7035,0.34095,0.9407,0.99829,0.99758,0.995,0.89222,0.49748,0.22813,0.8506,0.000381899,0.000381899,0.000381899
89,24184.5,0.6955,0.33558,0.93613,0.99865,0.99758,0.995,0.8926,0.49604,0.22741,0.85015,0.000371885,0.000371885,0.000371885
90,24456.1,0.69682,0.33783,0.93398,0.99862,0.99758,0.995,0.89278,0.49409,0.22675,0.8494,0.000361929,0.000361929,0.000361929
91,24713.3,0.69488,0.33572,0.93392,0.99867,0.99758,0.995,0.89348,0.49211,0.22634,0.84865,0.000352037,0.000352037,0.000352037
92,24984.3,0.69394,0.33509,0.93156,0.99864,0.99758,0.995,0.89338,0.49118,0.22627,0.84798,0.000342211,0.000342211,0.000342211
93,25255.3,0.68757,0.3363,0.93235,0.99861,0.99758,0.995,0.89373,0.48972,0.22561,0.84742,0.000332457,0.000332457,0.000332457
94,25526.1,0.67837,0.32928,0.92752,0.99861,0.99758,0.995,0.89429,0.48853,0.22479,0.84677,0.000322778,0.000322778,0.000322778
95,25797.4,0.68574,0.33124,0.93156,0.99811,0.99758,0.995,0.89426,0.48767,0.22441,0.84635,0.00031318,0.00031318,0.00031318
96,26057.2,0.67267,0.32682,0.9249,0.99829,0.99758,0.995,0.89549,0.48606,0.22409,0.84571,0.000303665,0.000303665,0.000303665
97,26326.3,0.66546,0.32463,0.92117,0.99902,0.99758,0.995,0.89562,0.48472,0.22388,0.84513,0.000294239,0.000294239,0.000294239
98,26596.7,0.66603,0.32534,0.92408,0.99894,0.99758,0.995,0.89671,0.48343,0.22338,0.84466,0.000284906,0.000284906,0.000284906
99,26867.5,0.66614,0.32665,0.92057,0.99903,0.99752,0.995,0.89638,0.48248,0.2232,0.84421,0.000275668,0.000275668,0.000275668
100,27138.3,0.66263,0.32192,0.92602,0.99892,0.99758,0.995,0.89694,0.4817,0.22324,0.84375,0.000266532,0.000266532,0.000266532
101,27401.7,0.65903,0.31956,0.92198,0.99891,0.99758,0.995,0.89739,0.48089,0.22294,0.84345,0.0002575,0.0002575,0.0002575
102,27666.2,0.65604,0.31939,0.92208,0.9989,0.99758,0.995,0.89703,0.48003,0.22195,0.84303,0.000248577,0.000248577,0.000248577
103,27937.2,0.64916,0.31592,0.91677,0.99897,0.99758,0.995,0.89752,0.47935,0.22163,0.84263,0.000239766,0.000239766,0.000239766
104,28207,0.64302,0.31386,0.9162,0.99903,0.99631,0.995,0.89723,0.47842,0.22114,0.84231,0.000231071,0.000231071,0.000231071
105,28476.1,0.64103,0.31158,0.91422,0.99903,0.99601,0.995,0.89766,0.47728,0.22061,0.84177,0.000222497,0.000222497,0.000222497
106,28745.6,0.64646,0.31724,0.91882,0.9988,0.99565,0.995,0.89899,0.47645,0.22035,0.84131,0.000214046,0.000214046,0.000214046
107,29002.4,0.63902,0.31025,0.91479,0.99883,0.99565,0.995,0.89959,0.47533,0.2195,0.84091,0.000205723,0.000205723,0.000205723
108,29271.4,0.62948,0.30597,0.91202,0.99903,0.99559,0.995,0.89936,0.47399,0.21897,0.84051,0.000197532,0.000197532,0.000197532
109,29542.7,0.63194,0.30738,0.91364,0.99864,0.99516,0.995,0.89971,0.47314,0.21876,0.84022,0.000189475,0.000189475,0.000189475
110,29813,0.62591,0.30526,0.91053,0.99873,0.99516,0.995,0.8996,0.47252,0.21857,0.83992,0.000181557,0.000181557,0.000181557
111,30083.7,0.62675,0.30536,0.9118,0.99909,0.99516,0.995,0.89951,0.47161,0.21817,0.83958,0.00017378,0.00017378,0.00017378
112,30344.5,0.61505,0.30088,0.90631,0.999,0.99516,0.995,0.89927,0.47079,0.21793,0.83926,0.000166149,0.000166149,0.000166149
113,30598.3,0.6171,0.30012,0.90757,0.99895,0.99516,0.995,0.90009,0.46983,0.21805,0.83893,0.000158667,0.000158667,0.000158667
114,30745.9,0.61256,0.29752,0.9044,0.99886,0.99516,0.995,0.90013,0.469,0.21732,0.83857,0.000151336,0.000151336,0.000151336
115,30890.3,0.6134,0.30004,0.90777,0.99942,0.99516,0.995,0.89983,0.46818,0.21654,0.83814,0.000144161,0.000144161,0.000144161
116,31034.3,0.60765,0.29731,0.90465,0.99939,0.99516,0.995,0.90053,0.46708,0.21608,0.83781,0.000137143,0.000137143,0.000137143
117,31178.6,0.60722,0.29423,0.90265,0.99951,0.99502,0.995,0.90076,0.46558,0.21584,0.83734,0.000130287,0.000130287,0.000130287
118,31323.1,0.60884,0.29676,0.90565,0.99951,0.99469,0.995,0.90053,0.46443,0.21552,0.83689,0.000123596,0.000123596,0.000123596
119,31467.2,0.60637,0.29384,0.90294,0.99951,0.99508,0.995,0.90082,0.46343,0.2152,0.83653,0.000117072,0.000117072,0.000117072
120,31611.7,0.59738,0.29231,0.89877,0.99951,0.99497,0.995,0.90218,0.46237,0.21479,0.83608,0.000110718,0.000110718,0.000110718
121,31756.2,0.59265,0.29156,0.89899,0.99951,0.995,0.995,0.90246,0.46161,0.21435,0.83582,0.000104537,0.000104537,0.000104537
122,31900.7,0.58806,0.28858,0.89762,0.99951,0.99507,0.995,0.90239,0.46051,0.21395,0.8355,9.85311e-05,9.85311e-05,9.85311e-05
123,32044.9,0.59299,0.28979,0.89959,0.99951,0.99507,0.995,0.90198,0.45956,0.21396,0.83512,9.2704e-05,9.2704e-05,9.2704e-05
124,32189,0.59354,0.28849,0.90059,0.99951,0.99507,0.995,0.90239,0.45872,0.21393,0.83482,8.70577e-05,8.70577e-05,8.70577e-05
125,32333.3,0.58582,0.28593,0.89745,0.99951,0.99511,0.995,0.90258,0.4576,0.21363,0.83446,8.15947e-05,8.15947e-05,8.15947e-05
